序號,標章機關名稱,網站名稱,網址,標章等級,檢測日期,標章狀態,大分類,分類
3,民間團體,海陸漫行-智慧觀光虛實整合入口網,https://tter.cc,AA,2023/4/20,啟用,生活休閒場館,觀光/休閒/文化園區
9,民間團體,朝陽科技大學,https://web.cyut.edu.tw/,AA,2024/3/21,啟用,教育機構,大學/技專校院
21,民間團體,靜宜大學,https://www.pu.edu.tw/,A,2023/9/22,啟用,教育機構,大學/技專校院
24,民間團體,榮星花園游泳池,https://rxsp.teamxports.com/,A,2024/1/17,啟用,生活休閒場館,運動中心/場館
42,民間團體,黃彰輝紀念圖書館,https://www.ttcslib.org.tw,AA,2024/2/29,啟用,生活休閒場館,觀光/休閒/文化園區
48,民間團體,財團法人新竹市天主教仁愛社會福利基金會,https://www.charity.org.tw,A,2024/2/19,啟用,財團法人/公協會,財團法人/基金會/公協會
59,民間團體,兆豐證券形象網,https://www.megasec.com.tw,A,2024/4/23,啟用,金融服務業,銀行/證券/期貨/投信
73,民間團體,財團法人台灣中小企業聯合輔導基金會,https://www.smecf.org.tw/,A,2024/3/29,啟用,財團法人/公協會,財團法人/基金會/公協會
87,民間團體,耕莘健康管理專科學校,https://www.ctcn.edu.tw/,AA,2024/4/30,啟用,教育機構,大學/技專校院
89,民間團體,台灣電腦網路危機處理暨協調中心官方網站,https://www.twcert.org.tw/,AA,2024/8/15,啟用,財團法人/公協會,政府捐助/委辦法人機構
94,民間團體,富邦人壽-附保證投資型專區,https://invest.fubonlife.com.tw/life/gmxb,A,2024/8/15,啟用,金融服務業,保險/金融友善服務
97,民間團體,財團法人第一社會福利基金會,https://www.diyi.org.tw,A,2024/4/26,啟用,財團法人/公協會,財團法人/基金會/公協會
114,民間團體,遠東科技大學官網,http://ex.feu.edu.tw,A,2023/5/26,啟用,教育機構,大學/技專校院
124,民間團體,LINE Bank友善網路銀行,https://accessibility.linebank.com.tw/,AA,2023/4/21,啟用,金融服務業,銀行/證券/期貨/投信
126,民間團體,中華大學 Chung Hua University,https://www.chu.edu.tw,A,2024/4/23,啟用,教育機構,大學/技專校院
133,民間團體,國泰產險金融友善服務網,https://accessibility.cathay-ins.com.tw/INSOAWeb/html/CM/Accessibility/index.html,AAA,2024/4/23,啟用,金融服務業,保險/金融友善服務
136,民間團體,財團法人語言訓練測驗中心培力英語能力檢定測驗網,https://bestep.tw/,AA,2026/3/26,啟用,財團法人/公協會,財團法人/基金會/公協會
142,民間團體,國票綜合證券金融友善服務,https://friendly.ibfs.com.tw,A,2024/4/23,啟用,金融服務業,銀行/證券/期貨/投信
149,民間團體,育達科技大學校首頁,https://www.ydu.edu.tw,AA,2024/10/11,啟用,教育機構,大學/技專校院
154,民間團體,工業技術研究院,https://www.itri.org.tw/,AA,2024/4/26,啟用,財團法人/公協會,政府捐助/委辦法人機構
156,民間團體,財團法人農業保險基金全球資訊網,https://www.taif.org.tw/,A,2023/5/5,啟用,金融服務業,保險/金融友善服務
159,民間團體,三商美邦人壽保險股份有限公司,https://www.mli.com.tw/sites/mliportal/statement/company,A,2023/5/9,啟用,金融服務業,保險/金融友善服務
162,民間團體,大漢技術學院,https://www.dahan.edu.tw,A,2024/6/17,啟用,教育機構,大學/技專校院
164,民間團體,兆豐銀行網路銀行友善專區,https://handicap-free.megabank.com.tw/acc/,AA,2023/5/22,啟用,金融服務業,銀行/證券/期貨/投信
165,民間團體,伊甸基金會志工專區,https://volunteer.eden.org.tw/,A,2024/12/5,啟用,財團法人/公協會,財團法人/基金會/公協會
166,民間團體,Moovo官方網站,https://ridemoovo.com/,A,2024/5/31,啟用,一般企業,科技/資訊公司
170,民間團體,真理大學,https://www.au.edu.tw/,AA,2024/6/17,啟用,教育機構,大學/技專校院
179,民間團體,致理科技大學,https://www.chihlee.edu.tw/,A,2024/8/7,啟用,教育機構,大學/技專校院
191,民間團體,修平科技大學,https://www.hust.edu.tw/,A,2024/10/18,啟用,教育機構,大學/技專校院
195,民間團體,崇右影藝科技大學,https://www.cufa.edu.tw,A,2024/7/29,啟用,教育機構,大學/技專校院
196,民間團體,輔英科技大學,https://www.fy.edu.tw/,AA,2024/7/29,啟用,教育機構,大學/技專校院
202,民間團體,台新銀行台新友善金融服務專區,https://ac.taishinbank.com.tw/AccWeb/AW2/,A,2024/11/1,啟用,金融服務業,銀行/證券/期貨/投信
204,民間團體,華南金控官網,https://www.hnfhc.com.tw/HNFHC/,AA,2024/7/2,啟用,金融服務業,銀行/證券/期貨/投信
207,民間團體,龍華科技大學半導體工程系,https://se.lhu.edu.tw,A,2024/6/17,啟用,教育機構,大學/技專校院
221,民間團體,龍華科技大學數位行銷暨跨境商務系,https://dmcc.lhu.edu.tw,A,2024/6/18,啟用,教育機構,大學/技專校院
227,民間團體,中國醫藥大學全球資訊網,https://www.cmu.edu.tw/,AA,2024/7/30,啟用,教育機構,大學/技專校院
229,民間團體,遠雄人壽保險事業股份有限公司,https://accessibility.fglife.com.tw/,AAA,2024/6/17,啟用,金融服務業,保險/金融友善服務
234,民間團體,統一期貨-金融友善與公平待客,https://www.pfcf.com.tw/pscnetAccessibility/,A,2025/8/5,啟用,金融服務業,銀行/證券/期貨/投信
239,民間團體,統一綜合證券 金融友善專區,https://www.pscnet.com.tw/pscnetAccessibility/tab01.do,A,2024/6/14,啟用,金融服務業,銀行/證券/期貨/投信
242,民間團體,證券公會金融友善服務專區 ,http://acc.twsa.org.tw/index.html,A,2024/5/30,啟用,金融服務業,銀行/證券/期貨/投信
246,民間團體,臺灣企銀官方網站,https://www.tbb.com.tw,AA,2024/5/31,啟用,金融服務業,銀行/證券/期貨/投信
277,民間團體,中國信託 i繳費金融友善服務,https://www.i-payment.com.tw/,AA,2024/7/5,啟用,金融服務業,保險/金融友善服務
279,民間團體,彰化縣輔具資源中心,http://www.chcgat.org.tw/,A,2023/7/10,啟用,輔具資源中心,輔具資源中心
286,民間團體,聯邦銀行友善服務,https://freebank.ubot.com.tw/,A,2023/8/2,啟用,金融服務業,銀行/證券/期貨/投信
300,民間團體,蟾蜍山煥民新村,https://huanminvillage.taipei,A,2023/7/31,啟用,生活休閒場館,觀光/休閒/文化園區
301,民間團體,串門子社會設計社會影響加速器,https://influencerate.com.tw/,A,2024/10/11,啟用,生活休閒場館,觀光/休閒/文化園區
306,民間團體,大葉大學餐旅管理學系,https://hom.dyu.edu.tw/,A,2023/7/12,啟用,教育機構,大學/技專校院
311,民間團體,MMA金融友善網,https://accessibility.sinopac.com,AA,2023/8/2,啟用,金融服務業,保險/金融友善服務
323,民間團體,長庚大學,https://www.cgu.edu.tw,AA,2023/7/13,啟用,教育機構,大學/技專校院
333,民間團體,全國農業金庫友善個人網路銀行,https://ibank.agribank.com.tw/accBankWeb/,AA,2023/7/14,啟用,金融服務業,銀行/證券/期貨/投信
334,民間團體,全國農業金庫WebATM,https://ibank.agribank.com.tw/eatmWeb/,AA,2023/7/25,啟用,金融服務業,銀行/證券/期貨/投信
335,民間團體,財團法人天主教靈醫修女會附設宜蘭縣私立瑪利亞老人長期照顧中心(養護型)官網,http://www.mdb1989.org.tw,AA,2023/8/7,啟用,財團法人/公協會,財團法人/基金會/公協會
341,民間團體,北投溫泉博物館,https://hotspringmuseum.taipei,A,2023/8/7,啟用,生活休閒場館,博物館/藝文/展演機構
346,民間團體,醒吾科技大學入口網,https://www.hwu.edu.tw/,AA,2024/9/13,啟用,教育機構,大學/技專校院
347,民間團體,友照醫療儀器,https://www.ucare-medical.com/,A,2024/8/16,啟用,醫療照護,醫療器材/健康照護服務公司
355,民間團體,大展證券金融友善服務專區,https://www.tachan.com.tw/ow/friendly/,AA,2024/6/25,啟用,金融服務業,銀行/證券/期貨/投信
360,民間團體,南山產物金融友善服務專區,https://accessibility.nanshangeneral.com.tw/,AA,2024/7/23,啟用,金融服務業,保險/金融友善服務
369,民間團體,大葉大學觀光餐旅學院,https://cth.dyu.edu.tw/,A,2024/6/25,啟用,教育機構,大學/技專校院
378,民間團體,嘉南藥理大學,https://www.cnu.edu.tw,A,2024/10/18,啟用,教育機構,大學/技專校院
386,民間團體,財團法人金融聯合徵信中心個人線上查閱信用報告服務,https://apply.jcic.org.tw,A,2023/10/11,啟用,財團法人/公協會,財團法人/基金會/公協會
391,民間團體,長庚大學英文版,https://wwwen.cgu.edu.tw/,AA,2024/8/7,啟用,教育機構,大學/技專校院
393,民間團體,2023 Meet 花蓮創新創業嘉年華,https://meethualien.tw/,A,2024/8/23,啟用,生活休閒場館,觀光/休閒/文化園區
403,民間團體,加斌有限公司,http://www.cabindesigntaipei.com/,A,2024/7/30,啟用,一般企業,科技/資訊公司
405,民間團體,台新人壽金融友善服務專區,https://www.taishinlife.com.tw/pot/media/potmedia/friendly/,A,2024/7/30,啟用,金融服務業,保險/金融友善服務
450,民間團體,財團法人生物技術開發中心官方網站,https://www.dcb.org.tw/,AA,2024/10/18,啟用,財團法人/公協會,政府捐助/委辦法人機構
453,民間團體,康和期貨金融友善服務專區,https://www.concordfutures.com.tw/Promote/ccdfirm_Friendly/,A,2024/10/18,啟用,金融服務業,銀行/證券/期貨/投信
470,民間團體,大葉大學烘焙暨飲料調製學士學位學程,https://bbp.dyu.edu.tw/,A,2024/7/23,啟用,教育機構,大學/技專校院
478,民間團體,財團法人臺灣博物館文教基金會,https://www.taiwan-museum.org.tw/,A,2024/11/27,啟用,財團法人/公協會,財團法人/基金會/公協會
479,民間團體,財團法人車輛研究測試中心輪胎商品性能效率資訊網,http://tire.artc.org.tw/,AA,2023/8/22,啟用,財團法人/公協會,政府捐助/委辦法人機構
485,民間團體,兆豐證券 金融友善服務專區,https://www.megasec.com.tw/emegaTranAccessibility/,A,2024/7/29,啟用,金融服務業,銀行/證券/期貨/投信
486,民間團體,兆豐國際投顧 金融友善服務專區,https://www.megasec.com.tw/emegaResearchAccessibility/,A,2024/9/27,啟用,金融服務業,保險/金融友善服務
487,民間團體,兆豐期貨 金融友善服務專區,https://www.megasec.com.tw/emegaFuturesAccessibility/,A,2024/11/12,啟用,金融服務業,銀行/證券/期貨/投信
490,民間團體, 中國信託綜合證券友善金融服務專區,https://www.ctbcsec.com/friendly/,AA,2024/9/27,啟用,金融服務業,銀行/證券/期貨/投信
499,民間團體,公勝保險經紀人股份有限公司官網,https://www.goldennet.com.tw/,A,2024/8/7,啟用,金融服務業,保險/金融友善服務
503,民間團體,工業技術研究院_車輛耗能研究網站,https://auto.itri.org.tw/,AA,2024/9/23,啟用,財團法人/公協會,政府捐助/委辦法人機構
505,民間團體,德明財經科技大學,https://www.takming.edu.tw/,A,2024/10/18,啟用,教育機構,大學/技專校院
509,民間團體,大葉大學觀光旅遊學系,https://ttm.dyu.edu.tw/,A,2024/11/13,啟用,教育機構,大學/技專校院
513,民間團體,永豐銀行 公平待客金融友善網,https://bank.sinopac.com/sinopacBT/webevents/TCF/,A,2024/10/14,啟用,金融服務業,銀行/證券/期貨/投信
525,民間團體,嘉義縣輔具資源中心,https://chiayiat.tw/,A,2024/7/30,啟用,輔具資源中心,輔具資源中心
